,Overall rank,Country or region,Score|Happiness score,GDP per capita|Explained by: GDP ,Social support|Explained by: Social support,Healthy life expectancy|Explained by: Healthy life expectancy,Freedom to make life choices|Explained by: Freedom to make life choices,Generosity|Explained by: Generosity,Perceptions of corruption|Explained by: Perceptions of corruption
26,27,Saudi Arabia,6.406000000000001,1.334,1.31,0.76,0.5479999999999999,0.087,0.163
27,28,Spain,6.401,1.2309999999999999,1.421,1.051,0.426,0.165,0.11
28,29,Guatemala,6.399,0.754,1.1740000000000002,0.706,0.613,0.171,0.098
29,30,Italy,6.3870000000000005,1.236,1.347,1.023,0.321,0.17,0.04
30,31,Singapore,6.377000000000001,1.52,1.395,1.138,0.635,0.21899999999999997,0.5329999999999999
31,32,Brazil,6.376,0.953,1.3630000000000002,0.7659999999999999,0.483,0.132,0.107
32,33,Slovenia,6.3629999999999995,1.209,1.465,0.9329999999999999,0.647,0.146,0.077
33,34,El Salvador,6.348,0.7490000000000001,1.149,0.753,0.524,0.11900000000000001,0.11699999999999999
34,35,Kosovo,6.325,0.84,1.1840000000000002,0.6729999999999999,0.557,0.325,0.009000000000000001
35,36,Panama,6.305,1.0979999999999999,1.376,0.879,0.58,0.09699999999999999,0.054000000000000006
36,37,Slovakia,6.281000000000001,1.195,1.4240000000000002,0.853,0.424,0.11699999999999999,0.011000000000000001
37,38,Uzbekistan,6.257999999999999,0.6970000000000001,1.4340000000000002,0.7170000000000001,0.693,0.363,0.28
38,39,Chile,6.228,1.097,1.3230000000000002,0.889,0.41700000000000004,0.156,0.063
39,40,Bahrain,6.227,1.297,1.315,0.8390000000000001,0.61,0.287,0.127
40,41,Lithuania,6.215,1.194,1.433,0.795,0.42,0.054000000000000006,0.081
41,42,Trinidad and Tobago,6.192,1.168,1.4069999999999998,0.659,0.5529999999999999,0.19899999999999998,0.015
42,43,Poland,6.186,1.169,1.31,0.868,0.5579999999999999,0.063,0.161
43,44,Colombia,6.162999999999999,0.932,1.334,0.81,0.527,0.092,0.046
44,45,Cyprus,6.159,1.213,1.149,1.026,0.45899999999999996,0.228,0.051
