DATE,SPASTT01USQ661N
2006-07-01,77.3959002105574
2006-10-01,83.0421291195004
2007-01-01,86.1769977782908
2007-04-01,91.3849413603329
2007-07-01,91.1491120733887
2007-10-01,92.7073835889477
2008-01-01,84.2465942663887
2008-04-01,86.1490566594379
2008-07-01,77.1135856431975
2008-10-01,53.6439511614218
2009-01-01,47.717499366642
2009-04-01,53.5322491242645
2009-07-01,60.6383468598007
2009-10-01,66.3229440760847
2010-01-01,67.3168049908146
2010-04-01,66.7208630715032
2010-07-01,65.1376474733033
2010-10-01,71.5869259914687
2011-01-01,77.2393362875993
2011-04-01,78.0274319348881
2011-07-01,70.9993820173769
2011-10-01,68.653764113582
2012-01-01,74.8049311860193
2012-04-01,72.7602344494015
2012-07-01,75.0856535778915
2012-10-01,77.3792291966273
2013-01-01,83.3172945067292
